First Name,Last Name,Email,Gender,Age,Department,Attendance (%),Midterm Score,Final Score,Assignment Average,Quiz Average,Participation Score,Project Score,Total Score,Grade,Study Hours Per Week,Extracurricular Activity,Internet Access,Parent's Education,Family Income,Stress Level
Atharv,Joshi,atharv.joshi333@example.com,Female,22,Mechanical,84.97,67.93,81.72,90.23,71.19,75.66,94.95,79.51,B,19,Yes,Yes,PhD,Middle,Low
Krishna,Malhotra,krishna.malhotra179@example.com,Male,23,Civil,87.67,62.96,80.14,70.37,68.41,80.42,53.04,70.51,B,15,No,Yes,Diploma,High,Low
Reyansh,Chatterjee,reyansh.chatterjee161@example.com,Female,19,Electrical,62.75,61.57,56.81,78.14,63.1,63.88,93.59,65.86,C,22,Yes,No,High School,Low,Low
Riya,Verma,riya.verma403@example.com,Other,22,Civil,77.74,71.01,50.63,69.56,75.33,66.49,80.51,64.82,C,13,No,No,PhD,Low,High
Vivaan,Kumar,vivaan.kumar689@example.com,Female,21,Information Technology,73.99,65.62,62.97,93.52,73.84,67.42,85.87,71.82,B,10,Yes,No,Diploma,Middle,Medium
Aarav,Chatterjee,aarav.chatterjee109@example.com,Male,21,Information Technology,67.79,73.13,42.6,61.72,76.36,85.38,78.06,62.16,C,5,Yes,Yes,Bachelor,Low,Medium
Pari,Kapoor,pari.kapoor38@example.com,Female,18,Civil,78.84,65.48,49.82,67.8,68.47,88.57,80.12,63.27,C,33,Yes,Yes,High School,Middle,High
Pari,Reddy,pari.reddy409@example.com,Male,21,Information Technology,62.37,74.86,66.22,68.23,81.34,88.31,87.18,73.4,B,29,Yes,No,Bachelor,Middle,High
Pari,Das,pari.das766@example.com,Other,17,Mechanical,71.61,65.36,76.97,84.76,68.25,76.14,62.72,72.9,B,20,Yes,Yes,High School,Middle,High
Reyansh,Tiwari,reyansh.tiwari792@example.com,Male,25,Data Science,68.04,82.19,92.34,74.28,86.04,81.62,68.26,83.52,B,28,No,No,High School,High,Medium
Aadhya,Chatterjee,aadhya.chatterjee856@example.com,Other,17,Electrical,83.61,93.07,71.46,90.65,42.56,86.22,77.04,78.15,B,35,No,No,Diploma,Middle,Medium
Aarav,Tiwari,aarav.tiwari783@example.com,Other,19,Electronics,77.01,71.38,42.19,72.8,78.29,92.78,69.78,62.98,C,16,No,No,Bachelor,Low,Medium
Krishna,Verma,krishna.verma59@example.com,Female,20,Data Science,71.92,62.47,85.73,78.29,67.64,83.13,77.16,76.0,B,8,Yes,Yes,PhD,High,High
Ishaan,Singh,ishaan.singh332@example.com,Male,23,Civil,89.69,59.47,67.09,71.08,56.44,80.96,79.13,66.61,C,9,Yes,Yes,PhD,High,Low
Navya,Patel,navya.patel13@example.com,Other,23,Mechanical,80.05,66.48,50.77,70.79,69.89,69.98,74.06,62.9,C,14,Yes,Yes,Bachelor,High,High
Sai,Yadav,sai.yadav487@example.com,Male,24,Information Technology,84.04,98.29,74.62,77.58,73.11,58.81,75.68,80.15,B,32,Yes,No,Diploma,Low,Medium
Krishna,Verma,krishna.verma274@example.com,Other,23,Electrical,80.6,100.0,69.11,78.02,73.58,66.31,89.71,80.54,B,19,Yes,Yes,Master,High,Low
Sai,Banerjee,sai.banerjee613@example.com,Other,17,Information Technology,87.52,81.87,58.36,89.03,57.18,83.87,100.0,74.16,B,22,No,Yes,High School,Low,High
Aadhya,Singh,aadhya.singh573@example.com,Other,18,Data Science,70.09,61.51,73.49,69.97,55.39,78.69,63.25,67.39,C,12,No,No,Bachelor,Low,Low
Anaya,Iyer,anaya.iyer464@example.com,Other,20,Computer Science,84.74,56.21,95.25,67.17,70.14,86.14,61.23,74.91,B,31,Yes,No,Bachelor,Low,Medium
Krishna,Yadav,krishna.yadav847@example.com,Female,25,Mechanical,82.27,89.61,47.89,76.85,77.12,85.82,61.16,68.81,C,22,No,Yes,PhD,Low,Low
Diya,Malhotra,diya.malhotra245@example.com,Other,18,Electrical,66.8,77.83,76.45,77.5,78.16,71.2,78.79,77.1,B,15,No,No,Bachelor,Middle,High
Aditya,Patel,aditya.patel51@example.com,Male,17,Electronics,82.93,59.28,99.99,79.74,59.7,84.57,64.3,78.41,B,10,Yes,No,Master,Middle,Medium
